c_b_1_1 real: cat, predicted: Egyptian_cat 0.26727897
d_g_8_8 real: dog, predicted: Bedlington_terrier 0.3294395
d_g_8_16 real: dog, predicted: Bedlington_terrier 0.39046034
d_g_8_32 real: dog, predicted: Bedlington_terrier 0.14365608
d_g_8_64 real: dog, predicted: Band_Aid 0.04056634
d_g_8_128 real: dog, predicted: coyote 0.039795324
d_g_8_256 real: dog, predicted: nipple 0.029144714
d_g_8_512 real: dog, predicted: parking_meter 0.041212905
d_g_9_1 real: dog, predicted: kelpie 0.1686512
d_g_9_2 real: dog, predicted: kelpie 0.16249503
d_g_9_4 real: dog, predicted: kelpie 0.1439053
d_g_9_8 real: dog, predicted: kelpie 0.14775422
d_g_9_16 real: dog, predicted: Eskimo_dog 0.110959
d_g_9_32 real: dog, predicted: white_wolf 0.11534198
d_g_9_64 real: dog, predicted: coyote 0.23740949
d_g_9_128 real: dog, predicted: picket_fence 0.5481679
d_g_9_256 real: dog, predicted: picket_fence 0.29402247
d_g_9_512 real: dog, predicted: pot 0.09037659
d_g_10_1 real: dog, predicted: hammerhead 0.092148036
d_g_10_2 real: dog, predicted: hammerhead 0.09895998
d_g_10_4 real: dog, predicted: hammerhead 0.115482524
d_g_10_8 real: dog, predicted: hammerhead 0.09705237
d_g_10_16 real: dog, predicted: hammerhead 0.101961255
d_g_10_32 real: dog, predicted: jellyfish 0.17067456
d_g_10_64 real: dog, predicted: jellyfish 0.23468256
d_g_10_128 real: dog, predicted: jellyfish 0.10837365
d_g_10_256 real: dog, predicted: jellyfish 0.12582134
d_g_10_512 real: dog, predicted: nematode 0.38891467
d_r_1_1 real: dog, predicted: teddy 0.36328462
d_r_1_2 real: dog, predicted: teddy 0.18341811
d_r_1_4 real: dog, predicted: teddy 0.101086505
d_r_1_8 real: dog, predicted: teddy 0.19639903
d_r_1_16 real: dog, predicted: teddy 0.13117757
d_r_1_32 real: dog, predicted: teddy 0.19610402
d_r_1_64 real: dog, predicted: teddy 0.08154808
d_r_1_128 real: dog, predicted: knot 0.14836784
d_r_1_256 real: dog, predicted: hair_slide 0.15212098
d_r_1_512 real: dog, predicted: hair_slide 0.12064172
d_r_2_1 real: dog, predicted: Irish_setter 0.9423994
d_r_2_2 real: dog, predicted: Irish_setter 0.94688934
d_r_2_4 real: dog, predicted: Irish_setter 0.88175344
d_r_2_8 real: dog, predicted: Irish_setter 0.9320509
d_r_2_16 real: dog, predicted: Irish_setter 0.8860846
d_r_2_32 real: dog, predicted: Irish_setter 0.92176926
d_r_2_64 real: dog, predicted: Irish_setter 0.85507584
d_r_2_128 real: dog, predicted: Irish_setter 0.8607799
d_r_2_256 real: dog, predicted: Irish_setter 0.7074299
d_r_2_512 real: dog, predicted: jellyfish 0.62866396
d_r_3_1 real: dog, predicted: Irish_setter 0.9650422
d_r_3_2 real: dog, predicted: Irish_setter 0.9691929
d_r_3_4 real: dog, predicted: Irish_setter 0.9730152
d_r_3_8 real: dog, predicted: Irish_setter 0.9753069
d_r_3_16 real: dog, predicted: Irish_setter 0.98574626
d_r_3_32 real: dog, predicted: Irish_setter 0.9780401
d_r_3_64 real: dog, predicted: Irish_setter 0.97201705
d_r_3_128 real: dog, predicted: Irish_setter 0.96911836
d_r_3_256 real: dog, predicted: Irish_setter 0.99077576
d_r_3_512 real: dog, predicted: Irish_setter 0.9734928
d_r_4_1 real: dog, predicted: Irish_setter 0.9999157
d_r_4_2 real: dog, predicted: Irish_setter 0.9997913
d_r_4_4 real: dog, predicted: Irish_setter 0.99946135
d_r_4_8 real: dog, predicted: Irish_setter 0.99951303
d_r_4_16 real: dog, predicted: Irish_setter 0.9994968
d_r_4_32 real: dog, predicted: Irish_setter 0.9953452
d_r_4_64 real: dog, predicted: Irish_setter 0.96596634
d_r_4_128 real: dog, predicted: Irish_setter 0.4973551
d_r_4_256 real: dog, predicted: honeycomb 0.100397944
d_r_4_512 real: dog, predicted: maraca 0.062107936
d_r_5_1 real: dog, predicted: Chesapeake_Bay_retriever 0.26850176
d_r_5_2 real: dog, predicted: Chesapeake_Bay_retriever 0.28459427
d_r_5_4 real: dog, predicted: Chesapeake_Bay_retriever 0.2890791
d_r_5_8 real: dog, predicted: Chesapeake_Bay_retriever 0.2696681
d_r_5_16 real: dog, predicted: Chesapeake_Bay_retriever 0.2986376
d_r_5_32 real: dog, predicted: Chesapeake_Bay_retriever 0.34151527
d_r_5_64 real: dog, predicted: Chesapeake_Bay_retriever 0.2926419
d_r_5_128 real: dog, predicted: Chesapeake_Bay_retriever 0.2360361
d_r_5_256 real: dog, predicted: Chesapeake_Bay_retriever 0.18353358
d_r_5_512 real: dog, predicted: Chesapeake_Bay_retriever 0.11163333
d_r_6_1 real: dog, predicted: Irish_setter 0.4592953
d_r_6_2 real: dog, predicted: Irish_setter 0.30009988
d_r_6_4 real: dog, predicted: Irish_setter 0.2835118
d_r_6_8 real: dog, predicted: Irish_setter 0.23473835
d_r_6_16 real: dog, predicted: Irish_setter 0.24057937
d_r_6_32 real: dog, predicted: redbone 0.26488253
d_r_6_64 real: dog, predicted: Irish_setter 0.33427903
d_r_6_128 real: dog, predicted: Irish_setter 0.3644215
d_r_6_256 real: dog, predicted: Irish_setter 0.36012587
d_r_6_512 real: dog, predicted: Irish_setter 0.6245953
d_r_7_1 real: dog, predicted: Irish_setter 0.9999254
d_r_7_2 real: dog, predicted: Irish_setter 0.9996278
d_r_7_4 real: dog, predicted: Irish_setter 0.99920505
d_r_7_8 real: dog, predicted: Irish_setter 0.9995401
d_r_7_16 real: dog, predicted: Irish_setter 0.99813145
d_r_7_32 real: dog, predicted: Irish_setter 0.83865935
d_r_7_64 real: dog, predicted: Irish_setter 0.5025137
d_r_7_128 real: dog, predicted: Irish_water_spaniel 0.048876368
d_r_7_256 real: dog, predicted: honeycomb 0.045915067
d_r_7_512 real: dog, predicted: pill_bottle 0.115408726
d_r_8_1 real: dog, predicted: Irish_setter 0.99701935
d_r_8_2 real: dog, predicted: Irish_setter 0.9947279
d_r_8_4 real: dog, predicted: Irish_setter 0.99228865
d_r_8_8 real: dog, predicted: Irish_setter 0.99298203
d_r_8_16 real: dog, predicted: Irish_setter 0.99413484
d_r_8_32 real: dog, predicted: Irish_setter 0.9932417
d_r_8_64 real: dog, predicted: Irish_setter 0.9870804
d_r_8_128 real: dog, predicted: Irish_setter 0.8875958
d_r_8_256 real: dog, predicted: Irish_setter 0.542869
d_r_8_512 real: dog, predicted: Irish_setter 0.43702585
d_r_9_1 real: dog, predicted: Irish_setter 0.9996307
d_r_9_2 real: dog, predicted: Irish_setter 0.9997702
d_r_9_4 real: dog, predicted: Irish_setter 0.99973744
d_r_9_8 real: dog, predicted: Irish_setter 0.9995559
d_r_9_16 real: dog, predicted: Irish_setter 0.9985331
d_r_9_32 real: dog, predicted: Irish_setter 0.98546046
d_r_9_64 real: dog, predicted: Irish_setter 0.8681525
d_r_9_128 real: dog, predicted: vizsla 0.39398742
d_r_9_256 real: dog, predicted: dhole 0.26242
d_r_9_512 real: dog, predicted: Brabancon_griffon 0.18987745
d_r_10_1 real: dog, predicted: Irish_setter 0.9990369
d_r_10_2 real: dog, predicted: Irish_setter 0.99890447
d_r_10_4 real: dog, predicted: Irish_setter 0.9953591
d_r_10_8 real: dog, predicted: Irish_setter 0.9985246
d_r_10_16 real: dog, predicted: Irish_setter 0.99612397
d_r_10_32 real: dog, predicted: Irish_setter 0.991286
d_r_10_64 real: dog, predicted: Irish_setter 0.98447776
d_r_10_128 real: dog, predicted: Irish_setter 0.96810853
d_r_10_256 real: dog, predicted: Irish_setter 0.727173
d_r_10_512 real: dog, predicted: dhole 0.28785202
c_b_1_1 real: cat, predicted: Egyptian_cat 0.26727897
c_b_1_1 real: cat, predicted: Egyptian_cat 0.26727897
c_b_1_2 real: cat, predicted: lynx 0.38847783
c_b_1_4 real: cat, predicted: lynx 0.37886554
c_b_1_8 real: cat, predicted: lynx 0.45914397
c_b_1_16 real: cat, predicted: lynx 0.3635219
c_b_1_32 real: cat, predicted: lynx 0.33083972
c_b_1_64 real: cat, predicted: lynx 0.22114515
c_b_1_128 real: cat, predicted: breastplate 0.2869694
c_b_1_256 real: cat, predicted: barrel 0.062802136
c_b_1_512 real: cat, predicted: beaker 0.18595624
c_b_1_1 real: cat, predicted: Egyptian_cat 0.26727897
c_b_1_2 real: cat, predicted: lynx 0.38847783
c_b_1_4 real: cat, predicted: lynx 0.37886554
c_b_1_8 real: cat, predicted: lynx 0.45914397
c_b_1_16 real: cat, predicted: lynx 0.3635219
c_b_1_32 real: cat, predicted: lynx 0.33083972
c_b_1_64 real: cat, predicted: lynx 0.22114515
c_b_1_0.1 real: cat, predicted: lynx 0.30461383
c_b_1_0.2 real: cat, predicted: lynx 0.31755212
c_b_1_0.3 real: cat, predicted: lynx 0.32927918
c_b_1_0.4 real: cat, predicted: lynx 0.35265622
c_b_1_0.5 real: cat, predicted: lynx 0.33197284
d_b_1_0.1 real: dog, predicted: Weimaraner 0.1867662
d_b_1_0.2 real: dog, predicted: Weimaraner 0.18566051
d_b_1_0.3 real: dog, predicted: Weimaraner 0.19461508
d_b_1_0.4 real: dog, predicted: Weimaraner 0.18957973
d_b_1_0.5 real: dog, predicted: Weimaraner 0.186477
d_b_1_0.6 real: dog, predicted: Weimaraner 0.19039123
d_b_1_0.7 real: dog, predicted: Weimaraner 0.18776783
d_b_1_0.8 real: dog, predicted: Weimaraner 0.19128133
d_b_1_0.9 real: dog, predicted: Weimaraner 0.18757853
d_b_1_1.0 real: dog, predicted: Weimaraner 0.18225183
d_b_1_0.1 real: dog, predicted: Weimaraner 0.1867662
d_b_1_0.2 real: dog, predicted: Weimaraner 0.18566051
d_b_1_0.3 real: dog, predicted: Weimaraner 0.19461508
d_b_1_0.4 real: dog, predicted: Weimaraner 0.18957973
d_b_1_0.5 real: dog, predicted: Weimaraner 0.186477
d_b_1_0.0 real: dog, predicted: Weimaraner 0.18225183
d_b_1_0.1 real: dog, predicted: Bedlington_terrier 0.9719372
d_b_1_0.2 real: dog, predicted: Bedlington_terrier 0.16219237
d_b_1_0.3 real: dog, predicted: starfish 0.3370302
d_b_1_0.4 real: dog, predicted: doormat 0.15121835
d_b_1_0.5 real: dog, predicted: poncho 0.34007233
d_b_1_0.6 real: dog, predicted: poncho 0.6194421
